label,product_id,store_id,title_text,body_text,price_krw,title_len,sort_hour,sort_dayofweek,has_profile_image,store_name_len,seller_review_count,has_activity_snapshot,posts_last_1h,posts_last_6h,posts_last_24h,posts_last_7d,visible_product_count,has_default_profile_image,activity_review_count,safe_trade_count,trust_score,reliability_score,activity_score,notified_score,visit_today_count,visit_total_count,has_profile_snapshot,profile_review_count,profile_safe_trade_count,profile_trust_score,profile_reliability_score,profile_activity_score,profile_notified_score,profile_visit_today_count,profile_visit_total_count,profile_is_official_account,drop_rate_percent,risk_score,risk_level,trade_type,is_exchange_post,risk_keyword_count
0,228109341,379066,맥북 에어 m1 16GB,,650000,13,9,7,0,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,unknown,unknown,0,0
0,227727984,11756247,맥북에어 M1 13인치,,690000,12,17,7,0,7,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,unknown,unknown,0,0
0,228195616,8059465,맥북에어M4 13인치 512/16(10코어) 미드나이트 애플케어O,,1500000,36,13,1,0,4,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,unknown,unknown,0,0
0,221868385,12042547,맥미니 m2,,500000,6,14,1,0,9,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,unknown,unknown,0,0
0,228205077,2330076,애플 맥미니 m4 256 16gb 미개봉,,760000,22,18,1,0,9,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,unknown,unknown,0,0
0,201247562,9841010,맥미니 m2 pro판매,,800000,12,0,2,0,12,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,unknown,unknown,0,0
0,201842371,9841010,맥미니 M2 pro 판매,,800000,13,0,2,0,12,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,unknown,unknown,0,0
0,228224960,8446814,"맥북에어 13인치 M1 (16G, 256GB) 로즈골드 S급",,700000,33,10,2,0,12,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,unknown,unknown,0,0
0,227800162,5865264,맥북 에어 m2 512gb Gpu10코어 13인치,,900000,27,17,2,0,4,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,unknown,unknown,0,0
0,228059088,12262177,(미개봉) 맥미니 M4 기본형,,940000,16,17,2,0,7,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,unknown,unknown,0,0
0,228274241,11982119,맥북 에어 M2 13인치 램 8GB SSD 256GB,,800000,29,16,3,0,10,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,unknown,unknown,0,0
0,228274674,5680980,맥북에어 M4 16GB 512GB 스카이블루 팝니다,,1400000,28,17,3,0,4,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,unknown,unknown,0,0
